epoch time loss acc val_loss val_acc
0 20.316213130950928 0.4290867745876312 0.8224839568138123 0.32026419043540955, 0.8843166828155518
1 18.443494081497192 0.28337207436561584 0.8840755224227905 0.2702764868736267, 0.9002481698989868
2 18.45140314102173 0.24047602713108063 0.9029247760772705 0.20642375946044922, 0.9152989983558655
3 18.360517978668213 0.22360694408416748 0.9096407890319824 0.19588178396224976, 0.9171403646469116
4 18.336642742156982 0.21194055676460266 0.9149424433708191 0.19811038672924042, 0.9169001579284668
5 17.69238543510437 0.1964121311903 0.9210980534553528 0.1923692226409912, 0.9175406098365784
6 18.36308979988098 0.17889785766601562 0.9285879731178284 0.19016504287719727, 0.9187414646148682
7 18.296297073364258 0.16387642920017242 0.9350904822349548 0.14286334812641144, 0.9412376880645752
8 18.335498571395874 0.14792567491531372 0.9424647092819214 0.14700941741466522, 0.9438796043395996
9 18.299842596054077 0.14048825204372406 0.9444305896759033 0.4028797149658203, 0.8518933653831482
10 18.341790199279785 0.14498445391654968 0.9433898329734802 0.12497551739215851, 0.9519653916358948
11 18.266409635543823 0.12843400239944458 0.9495276808738708 0.1188141331076622, 0.9555680155754089
12 18.439329862594604 0.12227176129817963 0.9521517753601074 0.12210018932819366, 0.9542070031166077
13 18.348983764648438 0.12729810178279877 0.9502748847007751 0.11485922336578369, 0.9565287232398987
14 18.294653177261353 0.12299052625894547 0.9511288404464722 0.11528966575860977, 0.9582899808883667
15 18.242501258850098 0.12430738657712936 0.9511288404464722 0.11973021179437637, 0.9564486145973206
16 18.304085969924927 0.11792242527008057 0.9532725811004639 0.12418099492788315, 0.9543671607971191
17 18.377764463424683 0.11859504133462906 0.9532992839813232 0.1170586571097374, 0.956608772277832
18 18.363425254821777 0.1146252229809761 0.9545090794563293 0.11943058669567108, 0.9594107866287231
19 18.29621958732605 0.11343402415513992 0.9555409550666809 0.12275313585996628, 0.9589304327964783
20 18.437292098999023 0.11649416387081146 0.9534593820571899 0.11735450476408005, 0.9556480646133423
21 18.454387426376343 0.11530870944261551 0.9541710615158081 0.11617471277713776, 0.9582899808883667
22 18.427666425704956 0.11244568228721619 0.9560568332672119 0.11005173623561859, 0.9615723490715027
23 18.482439517974854 0.11429069191217422 0.9550783634185791 0.11036401987075806, 0.959891140460968
24 18.381645441055298 0.1060563251376152 0.958396315574646 0.13455764949321747, 0.9531663060188293
25 18.218732595443726 0.10733062028884888 0.9580316543579102 0.13002713024616241, 0.9554079174995422
26 18.32942843437195 0.10621927678585052 0.9581383466720581 0.13549360632896423, 0.9458810091018677
27 18.35539698600769 0.10549259185791016 0.9591524600982666 0.12176429480314255, 0.9538868069648743
28 18.394740104675293 0.10705030709505081 0.9579693675041199 0.11006517708301544, 0.9606116414070129
29 18.32467770576477 0.1054389551281929 0.9587699770927429 0.11876285076141357, 0.9562885165214539
30 18.278656005859375 0.10422008484601974 0.9591346383094788 0.11186059564352036, 0.9610119462013245
31 18.37397265434265 0.10360293835401535 0.9598284959793091 0.12042564153671265, 0.9601312875747681
32 18.232800245285034 0.10054793953895569 0.9609581828117371 0.11396284401416779, 0.9602113366127014
33 18.37131953239441 0.10364338010549545 0.959641695022583 0.10434158891439438, 0.9619725942611694
34 18.35721778869629 0.10055726766586304 0.9611272215843201 0.10669738054275513, 0.961652398109436
35 18.348273038864136 0.10185122489929199 0.9599885940551758 0.11055033653974533, 0.9620527029037476
36 18.26968479156494 0.09654749184846878 0.9624971151351929 0.19477497041225433, 0.9329116940498352
37 18.36851930618286 0.10244770348072052 0.960139811038971 0.11610741913318634, 0.9603714942932129
38 18.30280351638794 0.0970650389790535 0.9623370170593262 0.12705132365226746, 0.9570891261100769
39 18.3594069480896 0.0967215895652771 0.9622747302055359 0.13100728392601013, 0.9538067579269409
40 18.325111627578735 0.09836725145578384 0.9617232084274292 0.10492236167192459, 0.9637339115142822
41 18.33720874786377 0.09866549074649811 0.962070107460022 0.10364603251218796, 0.9630133509635925
42 18.298048973083496 0.09627704322338104 0.9623726010322571 0.10964228212833405, 0.961652398109436
43 18.409512996673584 0.09945733845233917 0.9608425498008728 0.11459425836801529, 0.9603714942932129
44 18.348005294799805 0.09549113363027573 0.9625238180160522 0.1116151362657547, 0.9591705799102783
45 18.313867807388306 0.09356862306594849 0.9641516208648682 0.10523154586553574, 0.9627732038497925
46 18.414394855499268 0.09689725190401077 0.9624882340431213 0.10912354290485382, 0.9638940095901489
47 18.344598293304443 0.09655199944972992 0.9623547792434692 0.10027085989713669, 0.9642142057418823
48 18.39156723022461 0.09542495012283325 0.9629507660865784 0.10452615469694138, 0.9622928500175476
49 18.39940357208252 0.09697212278842926 0.9627995491027832 0.11391857266426086, 0.9624529480934143
