epoch time loss acc val_loss val_acc
0 18.6698 0.529666 0.824247 0.515107 0.822178
1 18.2382 0.491302 0.824247 0.471792 0.822178
2 18.2033 0.491840 0.824247 0.470027 0.822178
3 18.3628 0.492018 0.824247 0.470043 0.822178
4 18.6235 0.492009 0.824247 0.470027 0.822178
5 18.3845 0.491985 0.824247 0.470000 0.822178
6 18.6041 0.491933 0.824247 0.469949 0.822178
7 18.4940 0.491792 0.824247 0.469820 0.822178
8 18.3970 0.462033 0.824247 0.442534 0.822178
9 18.5091 0.486348 0.824247 0.467504 0.822178
10 18.4869 0.471984 0.824247 0.438073 0.822178
11 18.5335 0.395750 0.824247 0.381961 0.822178
12 18.4743 0.387494 0.824247 0.370536 0.822178
13 18.3295 0.383805 0.824247 0.365182 0.822178
14 18.3763 0.381052 0.824247 0.360820 0.822178
15 18.4634 0.376327 0.824247 0.355604 0.822178
16 18.5484 0.368112 0.824247 0.351486 0.822178
17 18.5339 0.358995 0.824327 0.344574 0.823379
18 18.2978 0.337315 0.832955 0.319095 0.855805
19 18.3144 0.299931 0.857355 0.290666 0.862450
20 18.8202 0.291508 0.875101 0.265054 0.878783
21 18.4773 0.259338 0.883276 0.282140 0.860689
22 17.9641 0.247617 0.886576 0.270870 0.869255
23 18.3374 0.244056 0.890570 0.260937 0.875100
24 18.3255 0.243577 0.892643 0.249113 0.884628
25 18.4853 0.241712 0.894324 0.240432 0.888791
26 18.2742 0.238153 0.896468 0.235177 0.891273
27 18.3527 0.234553 0.897971 0.231310 0.893515
28 18.4913 0.231167 0.899714 0.228154 0.895276
29 18.2690 0.228022 0.901164 0.225390 0.896077
30 18.1770 0.225086 0.902499 0.222880 0.897758
31 18.1385 0.222320 0.903637 0.220553 0.899039
32 18.2231 0.219695 0.904998 0.218372 0.900240
33 18.2321 0.217190 0.906457 0.216308 0.901281
34 18.1897 0.214785 0.907720 0.214345 0.902562
35 18.1754 0.212467 0.908770 0.212469 0.903203
36 18.2526 0.210227 0.909766 0.210666 0.904163
37 18.2263 0.208054 0.910914 0.208927 0.905204
38 18.4784 0.205945 0.912034 0.207241 0.906005
39 18.2610 0.203893 0.912995 0.205600 0.906886
40 18.4657 0.201897 0.913751 0.203995 0.907686
41 18.5415 0.199953 0.914659 0.202421 0.908887
42 18.4556 0.198061 0.915895 0.200872 0.909928
43 18.1558 0.196217 0.916767 0.199346 0.910088
44 18.2816 0.194423 0.917727 0.197838 0.910568
45 18.3959 0.192674 0.918501 0.196351 0.910729
46 18.1494 0.190972 0.919373 0.194882 0.911369
47 18.1285 0.189313 0.919898 0.193433 0.912490
48 18.4275 0.187696 0.920610 0.192006 0.913531
49 18.1518 0.186120 0.921419 0.190600 0.914652
